,ISO,Name,Status,fecha_ext
11,axb,Abipón,10 Extinct,1850.0
49,lnj,Anguthimri,10 Extinct,1980.0
50,lnj,Linngithig,10 Extinct,1980.0
64,abj,Aka-Biada,10 Extinct,1931.0
65,aci,Aka-Cari,10 Extinct,2020.0
67,akx,Aka-Kede,10 Extinct,1940.0
130,apq,A-Pucikwar,10 Extinct,1950.0
131,apq,Great Andamanese,10 Extinct,1950.0
143,laz,Aribwatsa,10 Extinct,1997.0
226,brc,Berbice Dutch Creole,10 Extinct,2015.0
322,yil,Bularnu,10 Extinct,1980.0
323,bvv,Baniva,10 Extinct,2000.0
423,coq,Chasta Costa,10 Extinct,1970.0
440,cid,Chimariko,10 Extinct,1950.0
535,cuy,Cuitlatec,10 Extinct,1960.0
580,bjy,Dharumbal,10 Extinct,1960.0
658,opt,Eudeve,10 Extinct,1940.0
700,gbu,Gaagudju,10 Extinct,2002.0
733,ggd,Gugadj,10 Extinct,1980.0
744,pue,Gününa Küne,10 Extinct,1960.0
761,gyy,Gunya,10 Extinct,1972.0
900,ynd,Innamincka,10 Extinct,1976.0
971,juc,Jurchen,10 Extinct,1400.0
1032,ktg,Kalkatungu,10 Extinct,1976.0
1079,zkk,Karankawa,10 Extinct,1858.0
1091,kyl,Kalapuya,10 Extinct,1950.0
1108,xas,Kamass,10 Extinct,1989.0
1111,xmu,Kamu,10 Extinct,1970.0
1115,uwa,Kugu Nganhcara,10 Extinct,1990.0
1357,vmb,Mbabaram,10 Extinct,1980.0
1370,omc,Mochica,10 Extinct,1920.0
1386,zml,Matngele,10 Extinct,1990.0
1455,xak,Máku,10 Extinct,2001.0
1462,mbe,Molala,10 Extinct,1958.0
1495,zmc,Margany,10 Extinct,1980.0
1536,vma,Martuthunira,10 Extinct,1995.0
1544,8b Nearly Extinct,8b Nearly Extinct,8b Nearly Extinct,8b Nearly Extinct
1652,wyb,Ngiyambaa,10 Extinct,2010.0
1653,nig,Ngalakan,10 Extinct,2004.0
1660,nxn,Ngawun,10 Extinct,1977.0
1743,nyt,Nyawaygi,10 Extinct,2009.0
1752,nyv,Nyulnyul,10 Extinct,1999.0
1842,pox,Polabian,10 Extinct,1756.0
1869,pit,Pitta Pitta,10 Extinct,1981.0
1983,ona,Selknam,10 Extinct,1980.0
2006,sht,Shasta,10 Extinct,1978.0
2181,til,Tillamook,10 Extinct,1972.0
2241,tep,Tepecano,10 Extinct,1980.0
2276,tbu,Tubar,10 Extinct,1950.0
2299,uby,Ubykh,10 Extinct,1992.0
2303,urf,Uradhi,10 Extinct,1980.0
2347,xwk,Wangkumara,10 Extinct,1980.0
2371,wnw,Wintu,10 Extinct,2003.0
2379,wrb,Warluwara,10 Extinct,1980.0
2402,wnd,Warndarang,10 Extinct,1974.0
2406,wwr,Warrwa,10 Extinct,2016.0
2407,wrz,Waray (in Australia),10 Extinct,1980.0
2417,xam,/Xam,10 Extinct,1910.0
2471,ylr,Yalarnnga,10 Extinct,1980.0
2486,ysr,Yupik (Sirenik),10 Extinct,1997.0
2495,xyy,Yorta Yorta,10 Extinct,1960.0
